pmt#,mean_phot_count,mode
0,735.44,727.083
1,815.25,802.083
2,497.787,489.583
3,467.527,468.75
4,1295.32,1339.58
5,1147.42,1135.42
6,919.027,914.583
7,466.313,472.917
8,1741.8,1677.08
9,1894.94,1839.58
10,1099.96,1081.25
11,920.243,893.75
12,1931.1,1939.58
13,2653.09,2664.58
14,2581.45,2652.08
15,1447.93,1427.08
16,1646.54,1602.08
17,745.607,760.417
18,2480.97,2456.25
19,3337.38,3314.58
20,3131.42,3252.08
21,1726.52,1681.25
22,1902.89,1852.08
23,820.91,827.083
24,3503.09,3589.58
25,3329.11,3402.08
26,1758.25,1677.08
27,1313.41,1272.92
28,3503.15,3493.75
29,2413.21,2377.08
30,1733.55,1781.25
31,742.217,747.917
32,3004.34,3102.08
33,2494.56,2502.08
34,1301.78,1302.08
35,949.453,956.25
