pmt#,mean_phot_count,mode
0,2945.92,2818.75
1,2242.35,2247.92
2,1153.1,1147.92
3,800.9,797.917
4,5031.17,4410.42
5,2700.81,2685.42
6,1792.4,1677.08
7,710.75,714.583
8,12469,11722.9
9,6043.19,4977.08
10,2651.81,2739.58
11,1492.24,1556.25
12,43097.5,56322.9
13,13603.1,11564.6
14,8086.56,7602.08
15,3330.83,3397.92
16,2928.42,2772.92
17,995.73,985.417
18,46109.2,28647.9
19,13669,15902.1
20,8067.39,7114.58
21,3314.2,3302.08
22,2937.03,2818.75
23,1008.75,1022.92
24,12901,14781.3
25,6071.71,6114.58
26,2618.6,2581.25
27,1505.52,1493.75
28,5133.85,4785.42
29,2685.44,2622.92
30,1784.83,1706.25
31,710.49,668.75
32,3025.91,2777.08
33,2248.95,2139.58
34,1155.46,1106.25
35,804.64,806.25
