pmt#,mean_phot_count,mode
0,768.72,772.917
1,863,885.417
2,525.04,506.25
3,505.1,518.75
4,1184.3,1181.25
5,1068.52,1052.08
6,891.17,843.75
7,473.2,456.25
8,1325.5,1277.08
9,1526.49,1456.25
10,902.86,877.083
11,831.46,839.583
12,1186.93,1177.08
13,1719.74,1706.25
14,1749.21,1689.58
15,1049.7,1077.08
16,1241.27,1193.75
17,633.68,610.417
18,1179.55,1177.08
19,1711.71,1702.08
20,1744.36,1718.75
21,1053.53,1006.25
22,1255.67,1231.25
23,629.31,602.083
24,1329.99,1256.25
25,1523.7,1514.58
26,912.59,864.583
27,830.83,831.25
28,1194.79,1210.42
29,1075.63,1085.42
30,873.08,839.583
31,473.27,464.583
32,775.91,777.083
33,858.19,877.083
34,530.29,514.583
35,499.3,518.75
