pmt#,mean_phot_count,mode
0,945.96,956.25
1,1931.98,1835.42
2,1662.24,1727.08
3,3001.75,3027.08
4,1732.4,1785.42
5,3054.74,3056.25
6,3480.09,3481.25
7,3022.37,3122.92
8,1307.13,1289.58
9,2657.3,2656.25
10,2217.28,2172.92
11,3511.43,3552.08
12,831.245,827.083
13,1899.84,1931.25
14,2587.56,2647.92
15,2086.68,2102.08
16,3351.83,3327.08
17,2500.68,2535.42
18,739.835,727.083
19,1654.36,1702.08
20,2180.64,2122.92
21,1728.8,1706.25
22,2663.57,2702.08
23,1931.69,1935.42
24,927.955,947.917
25,1654.07,1622.92
26,1277.46,1260.42
27,1740.52,1802.08
28,937.05,922.917
29,1287.63,1264.58
30,1296.97,1268.75
31,954.16,956.25
32,466.49,472.917
33,752,747.917
34,561.85,552.083
35,743.355,714.583
