pmt#,mean_phot_count,mode
0,3032,2552.08
1,2514.26,2568.75
2,1300.88,1335.42
3,943.4,947.917
4,3543.36,3506.25
5,2429.81,2460.42
6,1737.13,1710.42
7,748.485,714.583
8,3525.76,3631.25
9,3334.24,3389.58
10,1789.89,1760.42
11,1297.29,1268.75
12,2500.88,2564.58
13,3326.53,3364.58
14,3153.37,3064.58
15,1732.37,1702.08
16,1911.28,1927.08
17,827.165,827.083
18,1950.54,1943.75
19,2660.33,2647.92
20,2589.32,2597.92
21,1457.52,1443.75
22,1658.07,1639.58
23,753.785,735.417
24,1739.99,1689.58
25,1916.74,1910.42
26,1090.72,1102.08
27,929.54,877.083
28,1317.42,1297.92
29,1153.4,1156.25
30,913.895,927.083
31,472.3,452.083
32,738.505,722.917
33,820.49,806.25
34,503.475,477.083
35,466.42,452.083
