pmt#,mean_phot_count,mode
0,473.25,472.917
1,746.43,706.25
2,557.62,547.917
3,743.32,727.083
4,930.73,897.917
5,1299.21,1264.58
6,1298.7,1285.42
7,941.86,964.583
8,930.38,939.583
9,1644.92,1581.25
10,1284.69,1260.42
11,1744.37,1697.92
12,747.91,752.083
13,1653.06,1689.58
14,2178.81,2127.08
15,1729.5,1685.42
16,2661.15,2552.08
17,1921.6,1927.08
18,826.43,827.083
19,1906.49,1839.58
20,2610.09,2485.42
21,2120.88,2127.08
22,3357.58,3277.08
23,2495.95,2447.92
24,1306.9,1339.58
25,2687,2589.58
26,2243.37,2314.58
27,3543.17,3572.92
28,1759.57,1777.08
29,3096.36,3147.92
30,3551.98,3627.08
31,3032.94,3093.75
32,967.05,977.083
33,1962.34,1918.75
34,1685.3,1639.58
35,3046.25,2560.42
