pmt#,mean_phot_count,mode
0,542.15,531.25
1,719.453,727.083
2,489.407,502.083
3,535.437,514.583
4,889.417,893.75
5,996.167,977.083
6,891.38,872.917
7,538.587,518.75
8,891.567,877.083
9,1261.8,1264.58
10,840.323,827.083
11,899.947,902.083
12,733.543,735.417
13,1257.65,1227.08
14,1438.66,1402.08
15,959.477,968.75
16,1255.4,1197.92
17,726.407,747.917
18,721.957,722.917
19,1265.38,1277.08
20,1447.07,1414.58
21,970.613,952.083
22,1256.98,1235.42
23,720.517,702.083
24,887.997,893.75
25,1256.94,1227.08
26,841.433,822.917
27,891.73,877.083
28,893.743,893.75
29,997.77,977.083
30,883.367,868.75
31,545.91,539.583
32,540.997,556.25
33,708.657,689.583
34,488.467,481.25
35,529.293,535.417
