pmt#,mean_phot_count,mode
0,473.95,460.417
1,754.8,756.25
2,563.76,552.083
3,746.11,727.083
4,927.58,877.083
5,1301.52,1310.42
6,1303.87,1277.08
7,957.04,964.583
8,935.04,872.917
9,1658.83,1564.58
10,1285.11,1252.08
11,1758.17,1722.92
12,742.7,718.75
13,1662.78,1702.08
14,2182.96,2177.08
15,1731.39,1681.25
16,2671.12,2610.42
17,1936.98,1864.58
18,828.87,793.75
19,1897.46,1872.92
20,2608.53,2552.08
21,2106.54,2052.08
22,3347.87,3397.92
23,2499.37,2268.75
24,1290.92,1277.08
25,2665.9,2689.58
26,2228.19,2202.08
27,3511.61,3302.08
28,1738.93,1702.08
29,3051.87,3081.25
30,3479.01,3397.92
31,2997.77,3214.58
32,951.6,910.417
33,1915.94,1939.58
34,1638.77,1577.08
35,2976.19,2489.58
