pmt#,mean_phot_count,mode
0,809.84,810.417
1,1652.15,1652.08
2,1504.84,1539.58
3,2873.9,2977.08
4,1801.74,1814.58
5,3771.5,3693.75
6,4957.8,4618.75
7,5771.81,5102.08
8,1481.14,1472.92
9,3799.41,3710.42
10,4034.87,3902.08
11,12187.8,11418.8
12,1000.48,977.083
13,2884.16,2902.08
14,4814.32,4610.42
15,5357.66,5002.08
16,13278.2,11660.4
17,41066.6,22552.1
18,1007.93,1006.25
19,2895.96,2652.08
20,4852.53,4489.58
21,5440.62,5222.92
22,13375.3,12314.6
23,43950.1,12031.3
24,1467.01,1560.42
25,3875.15,3718.75
26,4045.27,3664.58
27,12282.6,7464.58
28,1796.44,1752.08
29,3768.9,3702.08
30,4961.61,4764.58
31,5818.75,4568.75
32,810.37,777.083
33,1663.08,1589.58
34,1506.2,1477.08
35,2906.54,2985.42
