pmt#,mean_phot_count,mode
0,215.691,214.583
1,156.034,152.083
2,83.463,77.0833
3,62.679,60.4167
4,336.501,327.083
5,192.194,189.583
6,133.644,131.25
7,59.64,60.4167
8,753.637,739.583
9,450.164,452.083
10,212.677,202.083
11,127.551,127.083
12,1631.94,1581.25
13,1145.53,1147.92
14,761.419,727.083
15,326.602,327.083
16,290.11,293.75
17,108.356,102.083
18,3466.1,3302.08
19,2113.58,2077.08
20,1241.29,1202.08
21,487.278,502.083
22,409.329,402.083
23,137.668,139.583
24,6105.85,5797.92
25,1881.13,1868.75
26,659.524,652.083
27,290.762,277.083
28,5052.85,4902.08
29,1163.19,1164.58
30,592.403,577.083
31,175.325,177.083
32,9885.73,8797.92
33,2363.14,2289.58
34,815.213,806.25
35,322.982,327.083
