pmt#,mean_phot_count,mode
0,478.152,472.917
1,404.37,406.25
2,228.524,227.083
3,190.989,202.083
4,779.307,768.75
5,518.472,527.083
6,391.34,377.083
7,183.384,177.083
8,1410.82,1402.08
9,1043.99,1027.08
10,530.724,527.083
11,374.579,372.917
12,2164.57,2152.08
13,2140.14,2102.08
14,1639.77,1627.08
15,764.418,752.083
16,755.352,752.083
17,314.636,314.583
18,3651.32,3564.58
19,3493.35,3489.58
20,2421.22,2381.25
21,1028.14,1002.08
22,973.001,977.083
23,368.381,356.25
24,6290.96,6172.92
25,3104.84,3022.92
26,1246.8,1235.42
27,688.645,710.417
28,5488.84,5218.75
29,1989.83,1952.08
30,1165.59,1152.08
31,408.559,402.083
32,5435.04,5227.08
33,2860.7,2831.25
34,1154.47,1152.08
35,609.686,614.583
