pmt#,mean_phot_count,mode
0,3320.36,2702.08
1,5131.47,4202.08
2,3428.97,2702.08
3,3297.7,2827.08
4,5074.61,4206.25
5,6073.11,5352.08
6,5048.04,4385.42
7,2664.54,2206.25
8,4335.45,3727.08
9,6705.15,5560.42
10,4457.01,3685.42
11,4336.97,3527.08
12,3124.27,2477.08
13,5918.91,5027.08
14,7057.42,5660.42
15,4733.85,3822.92
16,5887.09,4527.08
17,3101.74,2577.08
18,3134.9,2477.08
19,5898.88,4589.58
20,7103.57,5722.92
21,4778.75,4210.42
22,5939.29,4722.92
23,3134.56,2510.42
24,4371.92,3518.75
25,6798.29,5206.25
26,4525.44,3677.08
27,4373.56,3377.08
28,5038.66,4018.75
29,6082.31,5202.08
30,5068.47,4027.08
31,2667.75,2343.75
32,3207.67,2639.58
33,5007.92,4106.25
34,3344.5,2739.58
35,3202.65,2539.58
